filename,document_name,risk_score,risk_band,num_risk_drivers
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.PDF,Strategic Alliance Agreement,0,Low Risk,0
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,43,Moderate Risk,2
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF",Strategic Alliance Agreement,10,Low Risk,1
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",Strategic Alliance Agreement,53,High Risk,3
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,18,Low Risk,1
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.PDF",STRATEGIC ALLIANCE AGREEMENT,28,Moderate Risk,2
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF",Strategic Alliance Agreement,20,Low Risk,2
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,25,Low Risk,1
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement.PDF,Strategic Alliance Agreement,18,Low Risk,1
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.PDF",Strategic Alliance Agreement,0,Low Risk,0
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.PDF,  Strategic Alliance Agreement,43,Moderate Risk,2
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",STRATEGIC ALLIANCE AGREEMENT,25,Low Risk,1
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC' ALLIANCE AGREEMENT (,0,Low Risk,0
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT.PDF,Strategic Alliance Agreement,10,Low Risk,1
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.PDF,Strategic Alliance Agreement,10,Low Risk,1
PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,20,Low Risk,2
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT.PDF",STRATEGIC ALLIANCE AGREEMENT,28,Moderate Risk,2
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF,Strategic Alliance Agreement,35,Moderate Risk,2
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF',STRATEGIC ALLIANCE AGREEMENT,53,High Risk,3
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF","STRATEGIC ALLIANCE AGREEMENT, d",28,Moderate Risk,2
"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF",STRATEGIC ALLIANCE AGREEMENT is,0,Low Risk,0
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.PDF",Strategic Alliance Agreement,0,Low Risk,0
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT.PDF,STRATEGIC ALLIANCE AGREEMENT,25,Low Risk,1
"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF",STRATEGIC ALLIANCE AGREEMENT,10,Low Risk,1
"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF",STRATEGIC ALLIANCE AGREEMENT,35,Moderate Risk,2
"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT.PDF",STRATEGIC ALLIANCE AGREEMENT,25,Low Risk,1
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF,Collaboration Agreement,18,Low Risk,1
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,COLLABORATION AGREEMENT,43,Moderate Risk,2
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF",COLLABORATION AGREEMENT,43,Moderate Risk,2
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.PDF, Cooperation Agreement ,25,Low Risk,1
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.PDF",Cooperation Agreement (,0,Low Risk,0
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF,COLLABORATION AGREEMENT (“A,43,Moderate Risk,2
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.PDF",Cooperation Agreement,0,Low Risk,0
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.PDF,COOPERATION AGREEMENT,0,Low Risk,0
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.PDF,INTERNET CHANNEL COOPERATION AGREEMENT,25,Low Risk,1
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.PDF",COOPERATION AGREEMENT,0,Low Risk,0
QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF,Cooperation Agreement,18,Low Risk,1
"SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.PDF",Cooperation Agreement,0,Low Risk,0
"SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.PDF",Cooperation Agreement,0,Low Risk,0
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,  COOPERATION AGREEMENT,18,Low Risk,1
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.PDF,COOPERATION AGREEMENT,0,Low Risk,0
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF",COLLABORATION AGREEMENT,43,Moderate Risk,2
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT.PDF",INTELLECTUAL PROPERTY AGREEMENT,0,Low Risk,0
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF",INTELLECTUAL PROPERTY AGREEMENT,0,Low Risk,0
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC..PDF",Intellectual Property Agreement,0,Low Risk,0
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.PDF",INTELLECTUAL PROPERTY AGREEMENT,0,Low Risk,0
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT.PDF,Intellectual Property Agreement,0,Low Risk,0
MSCIINC_02_28_2008-EX-10.10-.PDF,Intellectual Property Agreement,0,Low Risk,0
"OTISWORLDWIDECORP_04_03_2020-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT by and among UNITED TECHNOLOGIES CORPORATION, OTIS WORLDWIDE CORPORATION and CARRIER ~1.PDF",INTELLECTUAL PROPERTY AGREEMENT,0,Low Risk,0
VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT.PDF,INTELLECTUAL PROPERTY AGREEMENT,0,Low Risk,0
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT.PDF,INTELLECTUAL PROPERTY AGREEMENT,25,Low Risk,1
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF,"Distributor Agreement

Distributor Agreement",43,Moderate Risk,2
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Multiple LINAC and Multi-Modality Distributor Agreement,18,Low Risk,1
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF,DISTRIBUTOR AGREEMENT,25,Low Risk,1
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.PDF,DISTRIBUTOR AGREEMENT,53,High Risk,3
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.PDF",DISTRIBUTOR AGREEMENT,18,Low Risk,1
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.PDF,DISTRIBUTOR AGREEMENT,18,Low Risk,1
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.PDF,EXCLUSIVE DISTRIBUTOR AGREEMENT,43,Moderate Risk,2
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.PDF",EXCLUSIVE   DISTRIBUTOR  AGREEMENT,43,Moderate Risk,2
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.PDF,Distributor Agreement,25,Low Risk,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.PDF,DISTRIBUTOR  AGREEMENT,63,High Risk,4
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT.PDF,DISTRIBUTOR AGREEMENT,25,Low Risk,1
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.PDF,DISTRIBUTOR AGREEMENT,43,Moderate Risk,2
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.PDF",DISTRIBUTOR AGREEMENT,25,Low Risk,1
"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.PDF",DISTRIBUTOR AGREEMENT,18,Low Risk,1
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.PDF,Transportation Agreement,0,Low Risk,0
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.PDF,TRANSPORTATION CONTRACT,0,Low Risk,0
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT.PDF,MARINE TRANSPORTATION AGREEMENT,25,Low Risk,1
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,ENDORSEMENT AGREEMENT,25,Low Risk,1
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.PDF,Endorsement Agreement,43,Moderate Risk,2
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT.PDF,ENDORSEMENT AGREEMENT,18,Low Risk,1
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.PDF",ENDORSEMENT AGREEMENT,0,Low Risk,0
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT.PDF,ENDORSEMENT AGREEMENT,18,Low Risk,1
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.PDF,ENDORSEMENT AGREEMENT,25,Low Risk,1
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT.PDF,ENDORSEMENT AGREEMENT,61,High Risk,3
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.PDF,Endorsement Agreement,43,Moderate Risk,2
WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT.PDF,ENDORSEMENT AGREEMENT,43,Moderate Risk,2
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.PDF","LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",43,Moderate Risk,2
Microgenics Corporation - Collaborative Development and Commercialization Agreement.PDF,Collaborative Development and Commercialization Agreement,25,Low Risk,1
WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.PDF,DEVELOPMENT AGREEMENT,18,Low Risk,1
TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,DEVELOPMENT AGREEMENT (“,18,Low Risk,1
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE AGREEMENT.PDF,FRANCHISE AGREEMENT,63,High Risk,4
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT.PDF",FRANCHISE AGREEMENT,25,Low Risk,1
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.PDF,FRANCHISE AGREEMENT,28,Moderate Risk,2
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement.PDF",FRANCHISE AGREEMENT,38,Moderate Risk,3
JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT.PDF,"Franchise Agreement

Addendum to Lease Agreement",43,Moderate Risk,2
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT.PDF,SITE DEVELOPMENT AND HOSTING AGREEMENT (,25,Low Risk,1
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.PDF,e-business Hosting Agreement,0,Low Risk,0
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.PDF,Co-Hosting Agreement,43,Moderate Risk,2
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.PDF,LICENSING AND WEB SITE HOSTING AGREEMENT,0,Low Risk,0
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.PDF,VISP WEB SITE BUILDING AND HOSTING AGREEMENT,10,Low Risk,1
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.PDF,License and Hosting Agreement,36,Moderate Risk,2
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.PDF,License and Hosting Agreement,36,Moderate Risk,2
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT.PDF,WEB HOSTING AGREEMENT,0,Low Risk,0
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.PDF,Software Hosting Agreement,18,Low Risk,1
"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF",Amendment #3 to the Manufacturing Agreemen,18,Low Risk,1
"Antares Pharma, Inc. - Manufacturing Agreement.PDF",Manufacturing Agreement,25,Low Risk,1
Apollo Endosurgery - Manufacturing and Supply Agreement.PDF,Manufacturing and Supply Agreement,0,Low Risk,0
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.PDF,FIRST AMENDMENT TO SUPPLY AND MANUFACTURING AGREEMENT,0,Low Risk,0
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF",AMENDMENT NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT,18,Low Risk,1
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement .PDF,Manufacturing Agreement,43,Moderate Risk,2
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.PDF",Master Development and Manufacturing Agreement,0,Low Risk,0
"Sonos, Inc. - Manufacturing Agreement .PDF",Manufacturing Agreement,28,Moderate Risk,2
"VAPOTHERM, INC. - Manufacturing and Supply Agreement.PDF",Manufacturing and Supply Agreement,0,Low Risk,0
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.PDF",SUPPORT AND MAINTENANCE AGREEMENT,0,Low Risk,0
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT.PDF,COMPLEHON AGREEMENT AND UQITDITV MAINTENANCE AGREEMENT,0,Low Risk,0
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT.PDF,"RESTATED NET INVESTMENT INCOME MAINTENANCE AGREEMENT,",0,Low Risk,0
SANDRIDGEENERGYINC_08_06_2009-EX-10.6-OPERATIONS AND MAINTENANCE AGREEMENT.PDF,OPERATIONS AND MAINTENANCE AGREEMENT,18,Low Risk,1
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF,Unconditional Capital Maintenance Agreement,0,Low Risk,0
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.PDF,Maintenance and support contract,0,Low Risk,0
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,10,Low Risk,1
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,28,Moderate Risk,2
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT.PDF,   FLEET MAINTENANCE AGREEMENT,18,Low Risk,1
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT.PDF",OPERATIONS AND MAINTENANCE AGREEMENT,0,Low Risk,0
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,CONSTRUCTION AND MAINTENANCE AGREEMENT,0,Low Risk,0
SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.PDF,MAINTENANCE AGREEMENT,0,Low Risk,0
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,Software license and maintenance agreement,0,Low Risk,0
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,ASIA PACIFIC CABLE NETWORK 2 CONSTRUCTION & MAINTENANCE AGREEMENT,18,Low Risk,1
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.PDF,LICENCE AND MAINTENANCE AGREEMENT,0,Low Risk,0
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.PDF,TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,0,Low Risk,0
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.PDF,MAINTENANCE AGREEMENT,0,Low Risk,0
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF,Amended and Restated Unconditional Capital Maintenance Agreement,0,Low Risk,0
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.PDF,OPERATIONS AND MAINTENANCE AGREEMENT,18,Low Risk,1
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.PDF,Maintenance and Support Agreement,28,Moderate Risk,2
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT.PDF,FIRST AMENDMENT TO SAGEBRUSH MANAGEMENT AND MAINTENANCE AGREEMENT,0,Low Risk,0
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.PDF",ORDERLY MARKETING AGREEMENT,0,Low Risk,0
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.PDF","Sales, Marketing, Distribution, and Supply Agreement",43,Moderate Risk,2
Monsanto Company - SECOND A&R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .PDF,SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT,53,High Risk,3
LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.PDF,JOINT DEVELOPMENT AND MARKETING AGREEMENT,53,High Risk,3
"Loop Industries, Inc. - Marketing Agreement.PDF",Marketing Agreement,10,Low Risk,1
NUVEEN - REMARKETING AGREEMENT.PDF,REMARKETING AGREEMENT,25,Low Risk,1
"MetLife, Inc. - Remarketing Agreement.PDF",Remarketing Agreement,0,Low Risk,0
"PACIRA PHARMACEUTICALS, INC. - A&R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .PDF","AMENDED AND RESTATED STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT",43,Moderate Risk,2
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement .PDF,Broker Dealer Marketing and Servicing Agreement for Variable Annuity Contracts,0,Low Risk,0
"Reinsurance Group of America, Incorporated - A&R REMARKETING  AGREEMENT.PDF",AMENDED AND RESTATED REMARKETING AGREEMENT,25,Low Risk,1
"SightLife Surgical, Inc. - STRATEGIC SALES & MARKETING AGREEMENT.PDF",STRATEGIC SALES & MARKETING AGREEMENT,18,Low Risk,1
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.PDF","MANUFACTURING, DESIGN AND MARKETING AGREEMENT (t",28,Moderate Risk,2
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.PDF,Sponsorship Agreement,25,Low Risk,1
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,25,Low Risk,1
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
SONUSCORP_03_12_1997-EX-10.11-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,25,Low Risk,1
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.PDF,SPONSORSHIP AGREEMENT,0,Low Risk,0
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.PDF",SPONSORSHIP AGREEMENT,0,Low Risk,0
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",Reseller Agreement,25,Low Risk,1
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.PDF,RESELLER AGREEMENT,53,High Risk,3
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT.PDF,Reseller Agreement,53,High Risk,3
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.PDF",MASTER SUPPLY AGREEMENT,0,Low Risk,0
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT.PDF,Supply Agreement,43,Moderate Risk,2
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.PDF,SUPPLY AGREEMENT,10,Low Risk,1
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT.PDF",SUPPLY AGREEMENT,0,Low Risk,0
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT.PDF,SUPPLY AGREEMENT,25,Low Risk,1
"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT.PDF",SUPPLY AGREEMENT,18,Low Risk,1
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT.PDF,SUPPLY AGREEMENT,43,Moderate Risk,2
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement.pdf,ESCROW AGREEMENT,0,Low Risk,0
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment.pdf,First Amendment,0,Low Risk,0
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).pdf,"ELECTRONIC JOURNAL SOFT WARE DEVELOPMENT,                         HOSTING AND MANAGEMENT AGREEMENT",43,Moderate Risk,2
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).pdf,DEVELOPMENT AGREEMENT,43,Moderate Risk,2
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR-.pdf",AMENDMENT                                      TO THE                               DISTRIBUTOR AGREEMENT                                      BETWEEN                                   INGRAM MICRO                                        AND                                      NETGEAR,25,Low Risk,1
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.pdf",DISTRIBUTOR AGREEMENT,35,Moderate Risk,2
"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT #2 TO THE DISTRIBUTION AGREEMENT.pdf",AMENDMENT #2 TO THE                              DISTRIBUTION AGREEMENT,0,Low Risk,0
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.pdf,FIRST AMENDMENT TO                                                                           DISTRIBUTOR AGREEMENT,25,Low Risk,1
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.pdf,DISTRIBUTOR AGREEMENT,43,Moderate Risk,2
WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT.PDF,Endorsement Agreement,43,Moderate Risk,2
WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement.pdf,Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement,0,Low Risk,0
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2.pdf",EXHIBIT ‘B’,20,Low Risk,2
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1.pdf",Master Services Agreement,0,Low Risk,0
